,url,creator,last_modified_by,product_name,quantity,brands,brands_tags,categories,categories_tags,categories_en,labels,labels_tags,labels_en,countries,countries_tags,countries_en,ingredients_text,ingredients_tags,ingredients_analysis_tags,serving_size,pnns_groups_1,pnns_groups_2,food_groups,food_groups_tags,food_groups_en,states,states_tags,states_en,nutrient_levels_tags,popularity_tags,main_category,main_category_en,image_url,image_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,created_datetime,last_modified_datetime,last_updated_datetime,nutriscore_grade,environmental_score_grade,last_image_datetime
19,1,1,9,1,1,1,1,1,1,1,59,59,59,1,1,1,1,1,6,12,4,2,2,2,2,1,1,1,2,1,1,1,22,22,58,58,55,55,23.0,91.0,46.0,3.0,,81.0
20,1,2,1,1,1,1,1,1,1,1,1,1,1,3,10,10,1,1,3,2,63,63,64,64,64,2,2,2,2,8,1,1,1,1,1,1,1,1,84.0,58.0,17.0,5.0,7.0,52.0
21,1,31,27,1,1,8,8,3,3,3,59,59,59,15,31,31,1,1,1,1,12,8,8,8,8,1,1,1,3,1,3,3,1,1,1,1,1,1,4.0,5.0,31.0,4.0,3.0,19.0
22,1,2,27,1,38,1,1,1,2,2,59,59,59,2,2,2,1,1,1,12,63,63,64,64,64,1,1,1,62,20,2,2,1,1,58,58,1,1,82.0,12.0,35.0,6.0,,27.0
23,1,9,5,1,38,19,19,36,36,36,59,59,59,1,1,1,53,53,46,1,63,63,64,64,64,1,1,1,62,1,36,36,1,1,58,58,55,55,93.0,86.0,52.0,6.0,7.0,78.0
24,1,9,7,1,38,19,19,36,36,36,59,59,59,1,1,1,53,53,46,1,63,63,64,64,64,1,1,1,62,1,36,36,22,22,58,58,55,55,95.0,54.0,60.0,6.0,7.0,
25,1,7,5,1,2,1,1,36,36,36,59,59,59,4,10,10,53,53,46,1,63,63,64,64,64,2,2,2,62,8,36,36,1,1,58,58,55,55,88.0,38.0,36.0,6.0,7.0,36.0
26,1,31,2,1,1,1,1,3,3,3,1,1,1,6,8,8,1,1,6,1,12,8,8,8,8,1,1,1,1,1,3,3,1,1,1,1,1,1,8.0,78.0,37.0,6.0,3.0,62.0
27,1,31,12,1,38,1,1,36,36,36,59,59,59,6,31,31,53,53,46,1,63,63,64,64,64,1,1,1,62,1,36,36,1,1,58,58,55,55,26.0,57.0,33.0,6.0,7.0,66.0
28,1,31,27,1,1,8,8,1,1,1,59,59,59,6,31,31,1,1,1,40,12,8,8,8,8,2,2,2,62,1,2,2,1,1,1,1,1,1,55.0,6.0,47.0,6.0,3.0,15.0
